sFileNumber,vOffice,vCoverageType,vState,vProduct,vTransaction,nLoanAmount,nLienAmounts,nEquity,nLiens,nActions,nAuditEntries,nTotalExceptions,nTotalNotes,oCancelled,oNumDays
17-500015,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"25,000.00","228,250.00","-203,250.00",1.00,50.00,767.00,4.00,12.00,0.00,27.00
2301-200007,1,3863,TX,Title and Escrow,Reverse Mortgage,"131,000.00","75,000.00","56,000.00",1.00,60.00,886.00,4.00,6.00,1.00,45.00
17-500016,2,3863,CA,Title & Full Escrow,Refinance,"259,462.00","216,015.00","43,447.00",1.00,72.00,973.00,17.00,19.00,0.00,50.00
17-500018,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"59,400.00","420,778.00","-361,378.00",1.00,48.00,692.00,4.00,8.00,0.00,41.00
17-500019,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"125,000.00","175,000.00","-50,000.00",2.00,51.00,946.00,5.00,20.00,0.00,50.00
2301-200008,1,3860,MO,Title and Escrow,Reverse Mortgage,"290,000.00","332,000.00","-42,000.00",3.00,75.00,960.00,24.00,30.00,1.00,45.00
2301-200009,1,3860,UT,Title and Escrow,Reverse Mortgage,"153,000.00",0.00,"153,000.00",0.00,57.00,681.00,18.00,14.00,1.00,45.00
2301-200010,1,3860,KY,Title and Escrow,Reverse Mortgage,"145,000.00",0.00,"145,000.00",0.00,66.00,742.00,21.00,12.00,1.00,45.00
17-500020,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),"113,000.00","408,500.00","-295,500.00",2.00,49.00,614.00,6.00,14.00,0.00,28.00
2301-200011,1,3860,FL,Title and Escrow,Reverse Mortgage,"83,360.00",0.00,"83,360.00",0.00,94.00,"2,203.00",31.00,49.00,0.00,28.00
2301-200012,1,3863,CA,Title and Escrow,Reverse Mortgage,"379,678.50",0.00,"379,678.50",0.00,53.00,510.00,17.00,6.00,1.00,45.00
17-500022,2,3863,CA,Title & Sub-Escrow,Refinance,"120,000.00","193,500.00","-73,500.00",1.00,39.00,500.00,17.00,6.00,1.00,45.00
2301-200013,1,3863,FL,Title and Escrow,Reverse Mortgage,"97,170.00","100,000.00","-2,830.00",1.00,86.00,"1,465.00",27.00,35.00,0.00,56.00
17-500023,2,3863,CA,Title & Sub-Escrow,Refinance,"337,500.00","433,600.00","-96,100.00",1.00,40.00,457.00,16.00,7.00,1.00,45.00
2301-200014,1,3860,MS,Title and Escrow,Reverse Mortgage,"133,750.00",0.00,"133,750.00",0.00,99.00,"1,749.00",21.00,50.00,0.00,39.00
17-500024,2,3863,CA,Title Only,Refinance,"1,250,000.00",0.00,"1,250,000.00",0.00,23.00,272.00,1.00,7.00,1.00,45.00
17-500025,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"60,000.00","550,000.00","-490,000.00",1.00,42.00,545.00,7.00,9.00,0.00,29.00
2301-200015,1,3863,TX,Title and Escrow,Reverse Mortgage,"146,000.00","70,000.32","75,999.68",1.00,71.00,976.00,7.00,27.00,1.00,45.00
2301-200016,1,3863,CA,Title and Escrow,Reverse Mortgage,"200,313.75",0.00,"200,313.75",0.00,85.00,"1,552.00",16.00,48.00,0.00,39.00
17-500026,2,3863,CA,Title & Sub-Escrow,Refinance,"320,000.00","215,421.00","104,579.00",2.00,63.00,986.00,21.00,25.00,0.00,43.00
2301-200017,1,3863,FL,Title and Escrow,Reverse Mortgage,"80,000.00","15,000.00","65,000.00",1.00,57.00,637.00,29.00,7.00,1.00,45.00
17-500027,2,3863,CA,Title & Full Escrow,Refinance,"179,900.00","193,500.00","-13,600.00",1.00,50.00,586.00,18.00,10.00,1.00,45.00
17-500028,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"60,000.00","206,400.00","-146,400.00",1.00,41.00,627.00,4.00,11.00,0.00,50.00
2301-200018,1,3860,AL,Title Only,Reverse Mortgage,"101,306.55","137,850.00","-36,543.45",2.00,79.00,"1,414.00",25.00,45.00,0.00,34.00
2301-200019,1,3860,PA,Title and Escrow,Reverse Mortgage,"87,408.00",0.00,"87,408.00",0.00,111.00,"1,630.00",20.00,50.00,0.00,39.00
17-500029,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"50,000.00","304,000.00","-254,000.00",1.00,43.00,604.00,4.00,12.00,0.00,29.00
17-500031,2,3863,CA,Title Only,Refinance,"25,000.00","40,000.00","-15,000.00",1.00,74.00,"1,770.00",17.00,42.00,0.00,43.00
17-500032,2,3863,CA,Title Only,Refinance,"230,521.00","244,228.31","-13,707.31",2.00,44.00,620.00,24.00,14.00,1.00,45.00
17-500033,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"84,000.00","91,000.00","-7,000.00",1.00,51.00,721.00,13.00,24.00,0.00,204.00
17-500034,2,3863,NV,Title & Sub-Escrow,Refinance,"250,000.00",0.00,"250,000.00",0.00,44.00,558.00,19.00,10.00,1.00,45.00
17-500035,2,3860,CO,Title Only,Refinance,"50,000.00",0.00,"50,000.00",0.00,93.00,"1,566.00",20.00,49.00,0.00,61.00
17-500036,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"59,500.00","205,000.00","-145,500.00",2.00,43.00,620.00,5.00,15.00,0.00,35.00
2301-200021,1,3863,AZ,Title and Escrow,Reverse Mortgage,"285,382.00",0.00,"285,382.00",0.00,101.00,"1,715.00",15.00,44.00,0.00,46.00
17-500037,2,3860,OR,Property Report / O&E & Full Escrow,Uninsured (Info Products),"202,400.00","629,000.00","-426,600.00",2.00,61.00,918.00,6.00,23.00,0.00,53.00
2301-200023,1,3860,UT,Title and Escrow,Reverse Mortgage,"625,500.00",0.00,"625,500.00",0.00,52.00,498.00,1.00,9.00,1.00,45.00
17-500038,2,3863,CA,LCP - Title Only,Refinance,"95,500.00","351,000.00","-255,500.00",1.00,42.00,699.00,4.00,8.00,0.00,29.00
17-500039,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"28,800.00","159,000.00","-130,200.00",2.00,38.00,634.00,7.00,16.00,0.00,29.00
17-500042,2,3863,CA,Title Only,Refinance,"100,000.00",0.00,"100,000.00",0.00,55.00,847.00,21.00,24.00,0.00,53.00
2301-200024,1,3863,CA,Title and Escrow,Reverse Mortgage,"326,700.00","227,700.00","99,000.00",1.00,110.00,"2,021.00",19.00,50.00,0.00,34.00
17-500043,2,3863,CA,LCP & Sub-Escrow,Refinance,"65,000.00","225,600.00","-160,600.00",2.00,67.00,"1,314.00",9.00,28.00,0.00,27.00
17-500044,2,3863,CA,LCP - Title Only,Refinance,"35,200.00","189,576.24","-154,376.24",2.00,56.00,"1,139.00",6.00,34.00,0.00,55.00
17-500045,2,3860,ID,Property Report / O&E - Title Only,Uninsured (Info Products),"25,000.00","130,500.00","-105,500.00",1.00,39.00,630.00,4.00,12.00,0.00,28.00
2301-200025,1,3863,CA,Title and Escrow,Reverse Mortgage,"359,662.50","156,000.00","203,662.50",1.00,74.00,"1,547.00",14.00,45.00,0.00,68.00
2301-200026,1,3860,MI,Title and Escrow,Reverse Mortgage,"11,396.00","1,920.94","9,475.06",2.00,97.00,"1,759.00",26.00,70.00,0.00,42.00
17-500046,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"100,000.00","1,062,448.00","-962,448.00",1.00,44.00,621.00,6.00,8.00,0.00,28.00
17-500047,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"75,000.00","328,800.00","-253,800.00",1.00,43.00,576.00,4.00,13.00,0.00,39.00
17-500048,2,3863,CA,LCP - Title Only,Refinance,"35,000.00","289,000.00","-254,000.00",1.00,57.00,809.00,7.00,13.00,0.00,55.00
17-500049,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"100,000.00","400,000.00","-300,000.00",1.00,43.00,605.00,5.00,15.00,0.00,19.00
17-500050,2,3863,CA,LCP - Title Only,Refinance,"50,000.00","456,000.00","-406,000.00",1.00,45.00,649.00,4.00,20.00,1.00,45.00
17-500051,2,3863,CA,LCP - Title Only,Refinance,"40,000.00","172,675.00","-132,675.00",1.00,64.00,947.00,4.00,15.00,0.00,64.00
17-500052,2,3863,CA,Title Only,Refinance,"272,435.00","246,453.00","25,982.00",1.00,56.00,999.00,18.00,20.00,1.00,45.00
2301-200028,1,3860,LA,Title and Escrow,Reverse Mortgage,"45,073.50",0.00,"45,073.50",0.00,92.00,"1,462.00",19.00,37.00,0.00,129.00
17-500053,2,3860,PA,Title & Sub-Escrow,Refinance,"36,500.00","12,500.00","24,000.00",1.00,141.00,"2,678.00",39.00,94.00,0.00,108.00
17-500054,2,3863,CA,Title & Sub-Escrow,Refinance,"76,000.00","1,737.56","74,262.44",2.00,49.00,555.00,22.00,11.00,1.00,45.00
17-500055,2,3860,UT,Title & Sub-Escrow,Refinance,"188,830.00","206,755.00","-17,925.00",1.00,63.00,"1,307.00",21.00,37.00,0.00,56.00
17-500056,2,3860,UT,Title & Sub-Escrow,Refinance,"126,030.00","272,000.00","-145,970.00",2.00,57.00,"1,096.00",19.00,27.00,0.00,56.00
2301-200030,1,3863,FL,Title and Escrow,Reverse Mortgage,"156,300.00",0.00,"156,300.00",0.00,71.00,"1,393.00",29.00,27.00,0.00,60.00
2301-200032,1,3863,TX,Title and Escrow,Reverse Mortgage,"535,000.00","307,439.39","227,560.61",2.00,67.00,669.00,7.00,14.00,1.00,45.00
17-500057,2,3863,CA,LCP - Title Only,Refinance,"100,000.00","417,000.00","-317,000.00",1.00,40.00,608.00,4.00,16.00,0.00,47.00
2301-200035,1,3863,CA,Title and Escrow,Reverse Mortgage,"625,500.00",0.00,"625,500.00",0.00,40.00,265.00,2.00,1.00,1.00,45.00
2301-200036,1,3860,VA,Title and Escrow,Reverse Mortgage,"184,100.00","108,750.00","75,350.00",1.00,112.00,"1,919.00",23.00,75.00,0.00,40.00
17-500059,2,3863,CA,LCP - Title Only,Refinance,"28,000.00","156,820.00","-128,820.00",1.00,40.00,582.00,4.00,17.00,0.00,59.00
2301-200038,1,3860,ME,Title and Escrow,Reverse Mortgage,"120,000.00",0.00,"120,000.00",0.00,63.00,839.00,21.00,19.00,1.00,45.00
17-500060,2,3860,IN,Title Only,Refinance,"147,700.00","151,699.00","-3,999.00",1.00,50.00,"1,122.00",21.00,26.00,0.00,42.00
17-500061,2,3863,CA,Title Only,Refinance,"187,000.00","193,498.00","-6,498.00",1.00,40.00,561.00,18.00,8.00,1.00,45.00
17-500062,2,3863,CA,Title & Sub-Escrow,Refinance,"417,000.00","403,000.00","14,000.00",1.00,56.00,819.00,17.00,20.00,0.00,42.00
17-500063,2,3863,AZ,Escrow Only,Refinance,"310,000.00",0.00,"310,000.00",0.00,19.00,639.00,2.00,5.00,0.00,32.00
2301-200040,1,3860,TN,Title and Escrow,Reverse Mortgage,"72,072.00","65,000.00","7,072.00",1.00,75.00,"1,226.00",20.00,29.00,0.00,62.00
17-500064,2,3863,AZ,Title & Sub-Escrow,Refinance,"400,000.00","852,227.42","-452,227.42",2.00,65.00,870.00,19.00,31.00,1.00,45.00
17-500065,2,3863,NV,Title & Sub-Escrow,Refinance,"292,000.00","311,250.00","-19,250.00",1.00,59.00,821.00,19.00,24.00,0.00,96.00
2301-200042,1,3860,AL,Title and Escrow,Reverse Mortgage,"147,618.00",0.00,"147,618.00",0.00,119.00,"1,930.00",20.00,68.00,0.00,35.00
17-500067,2,3863,CA,LCP - Title Only,Refinance,"30,000.00","260,356.00","-230,356.00",1.00,38.00,445.00,6.00,8.00,1.00,45.00
17-500069,2,3863,CA,Title & Full Escrow,Refinance,"179,244.00","199,327.00","-20,083.00",2.00,84.00,"1,148.00",19.00,28.00,0.00,74.00
2301-200043,1,3860,IL,Title and Escrow,Reverse Mortgage,"175,000.00","125,000.00","50,000.00",1.00,55.00,568.00,18.00,10.00,1.00,45.00
17-500070,2,3863,CA,Title & Full Escrow,Refinance,"262,500.00","229,500.00","33,000.00",1.00,80.00,"1,194.00",18.00,23.00,0.00,49.00
17-500071,2,3863,CA,Title & Full Escrow,Refinance,"212,000.00","262,670.00","-50,670.00",2.00,73.00,912.00,21.00,16.00,0.00,76.00
17-500072,2,3863,CA,Title Only,Refinance,"80,000.00","198,475.00","-118,475.00",2.00,48.00,707.00,20.00,19.00,0.00,27.00
17-500074,2,3863,CA,LCP - Title Only,Refinance,"95,000.00","75,000.00","20,000.00",1.00,40.00,526.00,4.00,10.00,1.00,45.00
17-500076,2,3863,CA,Title & Full Escrow,Refinance,"319,000.00","299,000.00","20,000.00",1.00,69.00,"1,125.00",20.00,17.00,0.00,49.00
17-500078,2,3863,CA,LCP - Title Only,Refinance,"80,000.00","194,778.00","-114,778.00",2.00,48.00,"1,059.00",7.00,16.00,0.00,19.00
17-500079,2,3860,OH,Title Only & Sub Escrow,Refinance,"213,000.00","240,000.00","-27,000.00",1.00,94.00,"1,759.00",22.00,53.00,0.00,220.00
2301-200044,1,3860,PA,Title and Escrow,Reverse Mortgage,"170,000.00","50,000.00","120,000.00",1.00,52.00,531.00,19.00,8.00,1.00,45.00
17-500081,2,3863,CA,Reverse Mortgage - Title Only,Refinance,"225,000.00","81,000.00","144,000.00",1.00,35.00,484.00,22.00,6.00,1.00,45.00
17-500082,2,3863,CA,Property Report / O&E - Title Only,Uninsured (Info Products),"50,000.00","179,250.00","-129,250.00",1.00,41.00,566.00,8.00,16.00,0.00,89.00
2301-200047,1,3860,VA,Title and Escrow,Reverse Mortgage,"204,360.00","251,994.00","-47,634.00",2.00,80.00,"1,503.00",28.00,48.00,0.00,59.00
2301-200048,1,3863,AZ,Title and Escrow,Reverse Mortgage,"131,040.00","108,400.00","22,640.00",1.00,88.00,"1,533.00",19.00,47.00,0.00,60.00
17-500085,2,3863,CA,Title & Full Escrow,Refinance,"119,000.00","125,000.00","-6,000.00",1.00,73.00,974.00,17.00,14.00,0.00,74.00
17-500086,2,3863,CA,Title & Full Escrow,Refinance,"142,250.00","152,157.53","-9,907.53",4.00,81.00,"1,249.00",23.00,21.00,0.00,74.00
17-500087,2,3863,CA,Title & Full Escrow,Refinance,"267,000.00","292,481.67","-25,481.67",2.00,74.00,"1,091.00",21.00,17.00,0.00,75.00
17-500088,2,3863,CA,Title & Full Escrow,Refinance,"40,000.00","229,552.00","-189,552.00",1.00,52.00,513.00,22.00,10.00,1.00,45.00
2301-200050,1,3860,GA,Title and Escrow,Reverse Mortgage,"215,000.00","143,560.00","71,440.00",1.00,76.00,777.00,20.00,17.00,1.00,45.00
2301-200051,1,3860,IL,Title and Escrow,Reverse Mortgage,"68,000.00","24,999.00","43,001.00",1.00,81.00,783.00,18.00,21.00,1.00,45.00
17-500089,2,3860,MS,Title & Sub-Escrow,Refinance,"94,000.00","79,591.00","14,409.00",1.00,36.00,613.00,23.00,7.00,1.00,45.00
2301-200052,1,3863,FL,Title and Escrow,Reverse Mortgage,"384,682.50","111,300.00","273,382.50",2.00,81.00,"1,462.00",32.00,40.00,0.00,68.00
17-500090,2,3863,FL,Title Only,Refinance,"159,135.00","159,137.00",-2.00,1.00,69.00,"1,081.00",32.00,25.00,0.00,34.00
17-500092,2,3860,IA,Title Only,Refinance,"166,998.00","166,999.00",-1.00,1.00,43.00,"1,019.00",25.00,18.00,0.00,28.00
17-500094,2,3863,CA,LCP - Title Only,Refinance,"40,000.00","352,000.00","-312,000.00",1.00,35.00,441.00,4.00,5.00,1.00,45.00
2301-200054,1,3863,CA,Title and Escrow,Reverse Mortgage,"370,921.50","347,871.95","23,049.55",3.00,70.00,"1,703.00",20.00,50.00,0.00,47.00
17-500095,2,3863,CA,LCP - Title Only,Refinance,"96,100.00","237,500.00","-141,400.00",1.00,37.00,540.00,4.00,17.00,0.00,42.00
2301-200055,1,3863,CA,Title and Escrow,Reverse Mortgage,"270,000.00","133,000.00","137,000.00",1.00,47.00,444.00,18.00,4.00,1.00,45.00
17-500096,2,3863,CA,Title & Sub-Escrow,Refinance,"184,000.00","140,924.00","43,076.00",1.00,74.00,"1,257.00",18.00,36.00,0.00,56.00
2301-200057,1,3860,CO,Title and Escrow,Reverse Mortgage,"335,000.00","120,000.00","215,000.00",1.00,61.00,869.00,20.00,25.00,1.00,45.00
2301-200058,1,3863,CA,Title and Escrow,Reverse Mortgage,"148,264.00","80,000.00","68,264.00",1.00,66.00,"1,332.00",22.00,32.00,0.00,52.00
17-500097,2,3863,CA,Title Only,Refinance,"68,000.00",0.00,"68,000.00",0.00,34.00,461.00,20.00,8.00,1.00,45.00
2301-200059,1,3863,CA,Title and Escrow,Reverse Mortgage,"370,921.50","130,000.00","240,921.50",1.00,112.00,"2,371.00",18.00,60.00,0.00,18.00
2301-200060,1,3860,IL,Title and Escrow,Reverse Mortgage,"142,000.00",0.00,"142,000.00",0.00,58.00,545.00,18.00,11.00,1.00,45.00
17-500098,2,3863,CA,LCP & Sub-Escrow,Refinance,"46,600.00","402,000.00","-355,400.00",1.00,78.00,"1,391.00",4.00,20.00,0.00,38.00
17-500099,2,3863,CA,LCP - Title Only,Refinance,"50,000.00","396,000.00","-346,000.00",1.00,53.00,779.00,4.00,16.00,0.00,48.00
17-500100,2,3863,CA,Title Only,Refinance,"168,000.00","284,058.00","-116,058.00",2.00,57.00,929.00,20.00,34.00,0.00,41.00
2301-200063,1,3860,AL,Title and Escrow,Reverse Mortgage,"51,240.00","50,000.00","1,240.00",1.00,90.00,"1,221.00",20.00,37.00,1.00,45.00
2301-200064,1,3863,CA,Title and Escrow,Reverse Mortgage,"261,796.31","417,440.00","-155,643.69",2.00,84.00,"1,866.00",21.00,41.00,0.00,25.00
17-500101,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"130,000.00","270,283.00","-140,283.00",1.00,41.00,583.00,3.00,13.00,0.00,34.00
2301-200065,1,3860,PA,Title and Escrow,Reverse Mortgage,"148,000.00","149,952.90","-1,952.90",4.00,53.00,789.00,26.00,10.00,1.00,45.00
17-500102,2,3863,AZ,Property Report / O&E - Title Only,Uninsured (Info Products),"80,000.00","135,000.00","-55,000.00",1.00,52.00,727.00,4.00,13.00,0.00,48.00
17-500103,2,3863,CA,LCP - Title Only,Refinance,"60,000.00","130,000.00","-70,000.00",1.00,35.00,449.00,4.00,6.00,1.00,45.00
2301-200066,1,3863,CA,Title and Escrow,Reverse Mortgage,"50,288.42",0.00,"50,288.42",0.00,105.00,"1,843.00",17.00,60.00,0.00,33.00
2301-200067,1,3863,CA,Title and Escrow,Reverse Mortgage,"362,164.50","325,000.00","37,164.50",2.00,88.00,"1,572.00",20.00,48.00,0.00,28.00
2301-200068,1,3863,CA,Title and Escrow,Reverse Mortgage,"234,255.00",59.23,"234,195.77",1.00,103.00,"2,322.00",17.00,94.00,0.00,47.00
2301-200069,1,3863,CA,Title and Escrow,Reverse Mortgage,"288,355.50","69,824.03","218,531.47",3.00,71.00,"1,667.00",20.00,50.00,0.00,60.00
17-500106,2,3863,CA,Title & Sub-Escrow,Refinance,"132,000.00","123,556.00","8,444.00",2.00,95.00,"1,613.00",23.00,39.00,0.00,53.00
2301-200070,1,3860,UT,Title and Escrow,Reverse Mortgage,"354,658.50","233,700.00","120,958.50",1.00,96.00,"1,532.00",21.00,47.00,0.00,52.00
17-500107,2,3863,CA,Title & Full Escrow,Refinance,"625,500.00","762,000.00","-136,500.00",2.00,85.00,"1,389.00",20.00,45.00,0.00,49.00
17-500109,2,3863,CA,Title & Full Escrow,Refinance,"382,500.00","248,000.00","134,500.00",1.00,85.00,"1,345.00",19.00,34.00,0.00,49.00
17-500110,2,3863,CA,LCP - Title Only,Refinance,100.00,"1,306.65","-1,206.65",1.00,33.00,498.00,7.00,4.00,0.00,228.00
2301-200074,1,3863,NV,Title and Escrow,Reverse Mortgage,"74,090.00",0.00,"74,090.00",0.00,87.00,"1,913.00",25.00,42.00,0.00,24.00
17-500112,2,3863,CA,Title Only,Refinance,"200,000.00","185,600.00","14,400.00",1.00,60.00,"1,048.00",19.00,33.00,0.00,40.00
17-500113,2,3863,CA,LCP - Title Only,Refinance,"35,250.00","222,900.00","-187,650.00",1.00,48.00,687.00,4.00,11.00,0.00,62.00
17-500115,2,3860,WA,Property Report / O&E - Title Only,Uninsured (Info Products),"115,000.00","362,000.00","-247,000.00",2.00,43.00,591.00,6.00,12.00,0.00,46.00
17-500116,2,3860,OR,Property Report / O&E - Title Only,Uninsured (Info Products),"115,000.00","182,911.00","-67,911.00",2.00,27.00,340.00,7.00,7.00,0.00,202.00
17-500117,2,3863,CA,Title & Sub-Escrow,Refinance,"380,000.00","216,000.00","164,000.00",1.00,41.00,459.00,19.00,8.00,1.00,45.00
2301-200078,1,3863,CA,Title and Escrow,Reverse Mortgage,"236,550.00","174,000.00","62,550.00",1.00,92.00,"1,477.00",19.00,44.00,0.00,28.00
17-500119,2,3863,CA,Title Only,Refinance,"263,611.00","265,108.00","-1,497.00",1.00,82.00,"1,143.00",15.00,33.00,0.00,65.00
17-500120,2,3860,IL,Title & Sub-Escrow,Refinance,"167,999.00","168,000.00",-1.00,1.00,65.00,"1,486.00",23.00,44.00,0.00,57.00
17-500122,2,3863,FL,Title Only,Refinance,"141,729.00","141,730.00",-1.00,1.00,65.00,"1,004.00",30.00,25.00,0.00,30.00
17-500123,2,3860,IL,Title & Sub-Escrow,Refinance,"163,817.00","215,990.60","-52,173.60",1.00,76.00,"1,686.00",25.00,47.00,0.00,77.00
17-500124,2,3860,ME,Title Only,Refinance,"123,176.00","125,314.75","-2,138.75",2.00,69.00,"1,226.00",23.00,42.00,0.00,72.00
17-500126,2,3860,OH,Title & Sub-Escrow,Refinance,"104,039.00","104,040.00",-1.00,1.00,65.00,"1,375.00",23.00,41.00,0.00,57.00
2301-200081,1,3860,CO,Title and Escrow,Reverse Mortgage,"285,000.00","134,747.00","150,253.00",2.00,51.00,592.00,23.00,8.00,1.00,45.00
17-500128,2,3860,IL,Title & Sub-Escrow,Refinance,"109,406.00","175,014.23","-65,608.23",1.00,58.00,"1,200.00",23.00,33.00,0.00,53.00
17-500129,2,3860,IL,Title & Sub-Escrow,Refinance,"46,637.00","50,291.61","-3,654.61",1.00,72.00,"1,488.00",24.00,39.00,0.00,66.00
2301-200082,1,3860,ME,Title and Escrow,Reverse Mortgage,"71,298.00","30,000.00","41,298.00",1.00,90.00,"1,838.00",30.00,69.00,0.00,58.00
2301-200083,1,3863,FL,Title and Escrow,Reverse Mortgage,"101,920.00","126,400.00","-24,480.00",1.00,97.00,"1,467.00",30.00,34.00,0.00,44.00
17-500130,2,3860,WI,Title Only,Refinance,"123,662.00","180,957.00","-57,295.00",2.00,55.00,"1,020.00",22.00,35.00,0.00,53.00
2301-200087,1,3863,FL,Title and Escrow,Reverse Mortgage,"134,960.00","160,000.00","-25,040.00",2.00,93.00,"1,657.00",37.00,46.00,0.00,35.00
2301-200088,1,3863,AZ,Title and Escrow,Reverse Mortgage,"126,075.00",0.00,"126,075.00",0.00,95.00,"1,491.00",19.00,35.00,0.00,32.00
17-500131,2,3863,CA,Title & Sub-Escrow,Refinance,"308,500.00","262,500.00","46,000.00",1.00,38.00,388.00,17.00,4.00,1.00,45.00
2301-200089,1,3863,CA,Title and Escrow,Reverse Mortgage,"256,710.00","218,000.00","38,710.00",2.00,80.00,"1,456.00",18.00,44.00,0.00,23.00
2301-200092,1,3863,TX,Title and Escrow,Reverse Mortgage,"152,000.00",0.00,"152,000.00",0.00,77.00,"1,051.00",6.00,25.00,1.00,45.00
17-500133,2,3863,CA,Title & Sub-Escrow,Refinance,"53,500.00","78,500.00","-25,000.00",1.00,56.00,674.00,19.00,19.00,1.00,45.00
17-500134,2,3860,WI,Title Only,Refinance,"176,301.00","202,350.00","-26,049.00",2.00,83.00,"1,362.00",22.00,45.00,0.00,72.00
17-500135,2,3860,GA,Title Only,Refinance,"85,222.00","85,223.00",-1.00,1.00,74.00,"1,659.00",23.00,46.00,0.00,35.00
17-500136,2,3860,AL,Title Only,Refinance,"81,809.00","81,810.00",-1.00,1.00,67.00,"1,284.00",23.00,35.00,0.00,70.00
2301-200096,1,3860,MI,Title and Escrow,Reverse Mortgage,"180,000.00","197,200.00","-17,200.00",3.00,54.00,618.00,23.00,12.00,1.00,45.00
2301-200097,1,3863,AZ,Title and Escrow,Reverse Mortgage,"66,120.00","79,000.00","-12,880.00",2.00,91.00,"1,574.00",19.00,43.00,0.00,58.00
2301-200098,1,3863,CA,Title and Escrow,Reverse Mortgage,"150,705.00",0.00,"150,705.00",0.00,87.00,"1,660.00",17.00,34.00,0.00,30.00
17-500137,2,3863,CA,Title & Full Escrow,Refinance,"574,500.00","593,561.00","-19,061.00",1.00,80.00,"1,258.00",19.00,30.00,0.00,100.00
2301-200100,1,3863,CA,Title and Escrow,Conventional - Refinance,"659,000.00","776,000.00","-117,000.00",1.00,51.00,554.00,17.00,13.00,1.00,45.00
17-500138,2,3863,CA,Title & Sub-Escrow,Refinance,"321,733.00","304,385.00","17,348.00",1.00,55.00,808.00,16.00,20.00,0.00,43.00
